Class,Day,Time,Place
Yoga,Monday,16:30,Zoom
Zumba,Monday,17:30,Zoom
Kickboxing,Monday,18:00,Kville
Pilates Bar,Tuesday,16:30,Zoom
Rhythm Cardio + Core,Tuesday,17:30,Zoom
Outdoor HIIT,Tuesday,18:00,Kville
Rhythm Strength/ MP,Wednesday,16:30,Zoom
Power Yoga,Wednesday,17:30,Zoom
Pilates Burn,Thursday,16:30,Zoom
Zumba,Thursday,17:30,Zoom
Outdoor HIIT,Thursday,18:00,Kville
Hatha Yoga,Friday,16:30,Zoom
Express HIIT,Friday,17:30,Zoom
Outdoor Yoga,Saturday,10:15,Kville
Kickboxing,Saturday,12:00,Zoom
Rhythm HIIT,Sunday,11:00,Zoom
Power Yoga,Sunday,17:00,Zoom
